created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-05-14 05:05:42+00:00,"RT @takeiteasyengi3: Dear @drashwathcn and @BSYBJP , Petition to promote students without exams and waive of the semester fee due to the cu…",SSavajii,ranebennur india,😍kiccha😍,39,60.0,4620.0,False,"Dear @drashwathcn and @BSYBJP , Petition to promote students without exams and waive of the semester fee due to the current pandemic situation. Here's why this is necessary for students.
 Here's the link: https://t.co/Zv08rQpxou
  #promotethedegreestudents  #promotetheVTUstudents"
2020-05-14 05:05:43+00:00,"RT @StarMaa: #StayHome and Enjoy #PawanKalyan's Blockbuster #AttarintikiDaredi tomorrow at 11 AM on @StarMaa

#StayHomeStaySafe #MaaPrayatn…",ChaitanyaAdapa5,vijayawada india,bharath universety Chennai ✊@pawankalyan,230,452.0,14071.0,False,"#StayHome and Enjoy #PawanKalyan's Blockbuster #AttarintikiDaredi tomorrow at 11 AM on @StarMaa

#StayHomeStaySafe #MaaPrayatnamManakosam https://t.co/HgANrmjAUw"
2020-05-14 05:05:44+00:00,"RT @RonaldKlain: I've had people tweet at me in the past 24 hours: 

Did the pandemic playbook really exist?  
Was it really a clearly mark…",AyushBardhan99,kolkata india,Medical student. Optimist. Builder.,61,83.0,6479.0,False,"I've had people tweet at me in the past 24 hours: 

Did the pandemic playbook really exist?  
Was it really a clearly marked ""playbook""?  
Would it have helped?  

Here's the cover, and the table of contents.  You decide. https://t.co/PMWr8YjIMu"
2020-05-14 05:05:45+00:00,"RT @Ms_Aflatoon: #Maharashtra Model

10 hours passed by since I tweeted this major lapse on covid19 which may risk many lives if not addres…",pnavadgi,south mumbai india,"Tweets are personal. Issues which impact life of citizens, Environment, Public Transportation, Info Tech,Finance,Economy. RTs are not endorsements.",334,217.0,16952.0,False,"#Maharashtra Model

10 hours passed by since I tweeted this major lapse on covid19 which may risk many lives if not addressed. 

Not a single @ShivSena @INCIndia or @NCPspeaks person has responded or got in touch with me so far. https://t.co/SbjUbYYGyd"
2020-05-14 05:05:45+00:00,"RT @PrabakaranSwadi: My covid-19 experience.
A thread.
I live in Anna Nagar West, Chennai.
Only my mom goes out twice a week to buy groceri…",karti90,chennai india,,60,590.0,255.0,False,"My covid-19 experience.
A thread.
I live in Anna Nagar West, Chennai.
Only my mom goes out twice a week to buy groceries within 500 m radius.
She took utmost care by wearing mask and avoiding crowded stores. 
But as life is unfair, she got the symptoms on the night of 9 May."
2020-05-14 05:05:46+00:00,"@AnilDeshmukhNCP
We are proud of you and we are proud of @DGPMaharashtra , you are the diamonds of maharashtra ! God bless you all for helping and serving state in these pandemic and dangerous time !",Faizspeaks1,nagpur india,"SPOKESPERSON, NCP",143,49.0,135.0,False,
2020-05-14 05:05:46+00:00,RT @benshapiro: Is there anyone at CNN with any level of self-awareness? Featuring Greta Thunberg on a covid-19 expert panel is just beyond…,Amitshah991,ahmedabad india,,128,475.0,25307.0,False,Is there anyone at CNN with any level of self-awareness? Featuring Greta Thunberg on a covid-19 expert panel is just beyond words. I actually cannot believe they are this insane/stupid.
2020-05-14 05:05:47+00:00,"RT @AbhishBanerj: Did you notice?

Yesterday, media quietly buried communal disturbances in Hooghly in Bengal

If something had happened in…",noooooooo_onee,india,INDIAN,42,185.0,21091.0,False,"Did you notice?

Yesterday, media quietly buried communal disturbances in Hooghly in Bengal

If something had happened in Delhi, they would have called it genocide.

But secular Bengal ... 

Internet shut in middle of lockdown, nobody crying for press freedom or about intolerance"
2020-05-14 05:05:48+00:00,"A Congress MLA’s car smuggling liquor was intercepted by the police in Simri, Bihar amid the lockdown.
 https://t.co/qfUQ0aU9fZ",gbgandhi88,ahmadabad city india,Sr. Software Engineer. Salesforce Developer.,2172,456.0,10049.0,False,
2020-05-14 05:05:49+00:00,"RT @ShashiTharoor: Authentic numbers are absent in India, argues mathematician @DineshSinghEDU: #Covid19 has exposed India’s data-ignorance…",casanova_Div,hyderabad india,,91,169.0,9619.0,False,"Authentic numbers are absent in India, argues mathematician @DineshSinghEDU: #Covid19 has exposed India’s data-ignorance &amp; @SrBachchan has made it obvious! 
https://t.co/pSQ7f3HoiL"
