created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-05 01:14:42+00:00,"#NoTimeToDie,#CoronaAlert,#coronavirus,#coronavirusinindia,#Coronavirushyderabad 

CORONAVIRUS doesn't give time to die...

NO TIME TO DIE - WRONG TIME TO RELEASE... https://t.co/FY3OJqmWLK",iamKLVR,vijayawada india,Life Planner || Blogger || Content Provider || Cinema || Politics || Sports || Writing is my passion ! Questioning is my RIGHT!#TDPTwitter,42,7,1634,False,
2020-03-05 01:14:43+00:00,RT @swatic12: Whatsapp videos showing how 1 pinch of kesar mixed with 1/2 spoon adrak and neem made into a thick paste with honey can save…,gusainster,bengaluru india,"Food, Music and Technology Lover | Engineer by Default | Time Traveller by Choice 🚶",91,225,12430,False,"Whatsapp videos showing how 1 pinch of kesar mixed with 1/2 spoon adrak and neem made into a thick paste with honey can save you from corona virus 

Desi moms : https://t.co/WbpL4pIMhj"
2020-03-05 01:14:46+00:00,"RT @ZeeNews: PM Netanyahu advises Israelis to avoid handshake and adopt 'Namaste' to greet amid coronavirus fear

https://t.co/kDBbd6AoPL…",Pradeepjha120,kalyan dombivali india,"JAI HIND 🇮🇳
Religion : INDIAN 🤗
@bjp4india

follow me on Instagram;

https://t.co/imlALdnxtV",149,196,4243,False,"PM Netanyahu advises Israelis to avoid handshake and adopt 'Namaste' to greet amid coronavirus fear

https://t.co/kDBbd6AoPL

#BenjaminNetanyahu

#Namaste

#Coronavirus"
2020-03-05 01:14:47+00:00,RT @iimcomic: Corona Virus has probably reached Bombay but is still searching for a place to stay.,nitsshukla,india,"Software developer.
Likes to read, run, cycle.
Also a geek from heart",153,108,1895,False,Corona Virus has probably reached Bombay but is still searching for a place to stay.
2020-03-05 01:14:47+00:00,"RT @RenukaJain6: Another failure of Broadcasting ministry @PrakashJavdekar 

Media spreading panic and reporting every suspected case. We h…",ramaswamy_o,chennai india,"was manager in a Pvt. company, recently joined BJP.",135,261,3347,False,"Another failure of Broadcasting ministry @PrakashJavdekar 

Media spreading panic and reporting every suspected case. We haven’t learn anything from China 

@narendramodi"
2020-03-05 01:14:47+00:00,RT @RahulGandhi: There are moments in the life of every nation when its leaders are tested. A true leader would be completely focused on av…,GagaJagdev,punjab india,Secratry All India Youth Congress & Incharj Of Affairs Himchal Pardesh Youth Congress.,1294,21,14323,False,"There are moments in the life of every nation when its leaders are tested. A true leader would be completely focused on averting the massive crisis about to be unleashed by the virus on India and its economy. 

#coronavirusindia https://t.co/SuEvqMFbQd"
2020-03-05 01:14:48+00:00,"@RahulGandhi @PMOIndia First you &amp; your mother stop funding for killing of Hindus!!!

We know how to be safe from Corona virus.

Only this Gandi virus has killed more Hindus than any other reason",absrajan,vishakhapatnam india,"•Co-Convener, Social Media, Vizag, BJP Andhra Pradesh.
•Views expressed are personal
•RTs not endorsement",601,177,39746,False,
2020-03-05 01:14:49+00:00,RT @Tavysingh: Good news from a Noida school where a parent had tested positive of Coronavirus. All children/family members have tested neg…,deling321,india,"loves to play cricket and singing.
View are personal.",139,739,13670,False,"Good news from a Noida school where a parent had tested positive of Coronavirus. All children/family members have tested negative. 
School shut till Friday. Stay calm &amp; don’t panic. 

#coronavirusindia 
#CoronavirusReachesDelhi https://t.co/7Fo59vrnRL"
2020-03-05 01:14:56+00:00,"RT @RexChapman: Coronavirus instructions. 
Wait for it...https://t.co/WvnKBwKUtb",_Annamalai,india,A Nomad!,203,319,5253,False,"Coronavirus instructions. 
Wait for it...https://t.co/WvnKBwKUtb"
2020-03-05 01:14:56+00:00,"RT @AstroKatie: CDC: Stop touching your face
ME WHEN I’M STRESSED: https://t.co/UZYi5HgIr0",Tyagi_RaVikrant,new delhi india,Curious about how stuff works. Computer science learner currently studying machine learning and a space and astronomy nerd.,432,5000,1017,False,"CDC: Stop touching your face
ME WHEN I’M STRESSED: https://t.co/UZYi5HgIr0"
